'CO'
5.0D-3     : Molecule Abundance (CO)
0.112D-18  : electric dipole moment (CO)
57.6356D9  : Rotational Constant (Robinson 1974)
30         : Number of levels.
40         : Number of C coefficieant tabele for the temperature. 

       10.
  ( 0, 0)  ( 0, 1)  ( 0, 2)  ( 0, 3)  ( 0, 4)  ( 0, 5)  ( 0, 6)  ( 0, 7)  ( 0, 8)  ( 0, 9)  ( 0,10)  ( 0,11)  ( 0,12)  ( 0,13)  ( 0,14)  ( 0,15)  ( 0,16)  ( 0,17)  ( 0,18)  ( 0,19)  ( 0,20)  ( 0,21)  ( 0,22)  ( 0,23)  ( 0,24)  ( 0,25)  ( 0,26)  ( 0,27)  ( 0,28)  ( 0,29)
 2.37D-72 7.99D-72 5.20D-71 8.03D-70 1.65D-68 7.19D-67 4.22D-65 4.67D-63 8.59D-61 2.44D-58 1.60D-55 1.16D-52 2.69D-49 4.56D-46 3.54D-42 1.26D-38 3.34D-34 2.56D-30 2.20D-25 6.16D-21 9.97D-16 4.06D-10 1.33D-10 2.95D-11 1.03D-11 1.55D-11 2.36D-11 6.73D-12 7.46D-12 2.41D-13
 8.02D-78 2.50D-77 1.98D-76 2.52D-75 7.23D-74 2.63D-72 1.98D-70 2.03D-68 3.77D-66 1.23D-63 5.88D-61 6.88D-58 8.44D-55 3.32D-51 9.58D-48 1.21D-43 7.34D-40 3.18D-35 3.96D-31 5.87D-26 2.46D-21 7.48D-16 8.28D-10 9.33D-11 7.91D-12 6.56D-11 1.63D-11 2.09D-11 8.41D-12 5.65D-13
 9.45D-84 2.91D-83 1.91D-82 2.73D-81 5.90D-80 2.59D-78 1.62D-76 1.91D-74 3.47D-72 1.06D-69 6.13D-67 5.00D-64 9.74D-61 2.08D-57 1.34D-53 6.83D-50 1.44D-45 1.57D-41 1.16D-36 2.64D-32 6.86D-27 5.38D-22 3.03D-16 4.23D-10 2.59D-11 4.43D-11 6.81D-11 1.48D-11 2.42D-11 6.42D-13
 2.72D-90 8.00D-90 5.57D-89 6.80D-88 1.67D-86 6.25D-85 4.49D-83 4.84D-81 9.36D-79 2.97D-76 1.53D-73 1.52D-70 2.12D-67 6.97D-64 2.56D-60 2.72D-56 2.40D-52 8.42D-48 1.60D-43 1.99D-38 7.86D-34 3.53D-28 4.81D-23 4.85D-17 2.00D-10 1.58D-10 4.72D-11 6.06D-11 1.90D-11 1.90D-12
 7.15D-96 2.20D-95 1.55D-94 2.14D-93 4.80D-92 2.16D-90 1.42D-88 1.81D-86 3.40D-84 1.13D-81 6.25D-79 5.45D-76 9.61D-73 2.29D-69 1.30D-65 8.30D-62 1.46D-57 2.27D-53 1.27D-48 4.27D-44 8.48D-39 5.74D-34 4.33D-28 8.98D-23 1.72D-16 8.28D-10 1.79D-10 4.21D-11 7.44D-11 1.44D-12
 2.35D-102 7.48D-102 5.26D-101 6.72D-100 1.63D-98 6.28D-97 4.64D-95 5.24D-93 1.08D-90 3.52D-88 1.93D-85 1.87D-82 2.78D-79 8.36D-76 3.47D-72 3.27D-68 3.67D-64 1.06D-59 2.94D-55 2.73D-50 1.65D-45 5.47D-40 6.73D-35 8.66D-29 3.20D-23 1.12D-16 6.17D-10 1.65D-10 5.75D-11 6.43D-12
 3.79D-109 1.19D-108 8.48D-108 1.13D-106 2.55D-105 1.07D-103 7.13D-102 8.86D-100 1.72D-97 5.92D-95 3.32D-92 3.07D-89 5.12D-86 1.31D-82 6.71D-79 4.82D-75 7.60D-71 1.48D-66 7.11D-62 3.45D-57 5.28D-52 5.66D-47 3.12D-41 6.81D-36 1.49D-29 9.56D-24 5.99D-17 5.89D-10 2.35D-10 4.17D-12
 4.03D-116 1.34D-115 9.69D-115 1.29D-113 3.09D-112 1.21D-110 8.81D-109 1.02D-106 2.13D-104 7.14D-102 4.11D-99 3.99D-96 6.23D-93 1.80D-89 7.90D-86 6.92D-82 8.70D-78 2.27D-73 7.88D-69 6.10D-64 5.37D-59 1.32D-53 2.64D-48 2.33D-42 9.81D-37 3.54D-30 4.37D-24 4.94D-17 7.20D-10 2.29D-11
 2.87D-124 8.76D-124 6.11D-123 7.96D-122 1.78D-120 7.20D-119 4.72D-117 5.66D-115 1.09D-112 3.73D-110 2.10D-107 1.99D-104 3.30D-101 8.66D-98 4.28D-94 3.18D-90 4.70D-86 1.01D-81 4.38D-77 2.60D-72 3.37D-67 5.15D-62 2.15D-56 7.53D-51 1.19D-44 8.35D-39 5.93D-32 1.06D-25 2.78D-18 1.67D-10



       20.
  ( 0, 0)  ( 0, 1)  ( 0, 2)  ( 0, 3)  ( 0, 4)  ( 0, 5)  ( 0, 6)  ( 0, 7)  ( 0, 8)  ( 0, 9)  ( 0,10)  ( 0,11)  ( 0,12)  ( 0,13)  ( 0,14)  ( 0,15)  ( 0,16)  ( 0,17)  ( 0,18)  ( 0,19)  ( 0,20)  ( 0,21)  ( 0,22)  ( 0,23)  ( 0,24)  ( 0,25)  ( 0,26)  ( 0,27)  ( 0,28)  ( 0,29)
 2.02D-09 2.83D-11 2.54D-11 6.67D-12 2.29D-12 8.09D-13 2.15D-13 6.31D-14 3.60D-14 1.06D-14 9.93D-15 3.29D-15 3.39D-15 9.25D-16 7.49D-16 2.37D-16 1.18D-16 4.42D-17 2.33D-17 5.74D-18 3.55D-18 2.17D-18 8.73D-19 5.13D-19 1.73D-19 1.10D-19 6.18D-20 2.92D-20 1.34D-20 3.92D-21
 6.45D-11 9.46D-10 6.78D-11 4.40D-11 1.22D-11 4.42D-12 1.67D-12 4.65D-13 1.64D-13 8.79D-14 2.61D-14 2.51D-14 8.38D-15 6.29D-15 2.33D-15 1.71D-15 4.62D-16 3.23D-16 1.10D-16 3.74D-17 1.74D-17 1.25D-17 4.48D-18 2.71D-18 8.78D-19 5.77D-19 3.34D-19 1.56D-19 7.52D-20 2.06D-20
 5.54D-11 6.50D-11 9.14D-10 7.29D-11 5.49D-11 1.66D-11 6.57D-12 2.64D-12 7.79D-13 3.20D-13 1.28D-13 5.67D-14 3.75D-14 1.21D-14 1.05D-14 4.00D-15 2.19D-15 9.50D-16 5.52D-16 1.27D-16 7.85D-17 4.47D-17 1.88D-17 9.75D-18 3.35D-18 2.17D-18 1.28D-18 6.02D-19 2.95D-19 7.88D-20
 8.89D-12 2.58D-11 4.45D-11 9.10D-10 7.94D-11 6.56D-11 2.06D-11 8.41D-12 4.02D-12 1.13D-12 5.41D-13 1.99D-13 8.96D-14 4.58D-14 2.14D-14 1.55D-14 5.00D-15 3.90D-15 1.49D-15 5.23D-16 2.38D-16 1.81D-16 6.16D-17 3.67D-17 1.09D-17 7.78D-18 4.30D-18 2.11D-18 1.03D-18 2.73D-19
 1.30D-12 3.03D-12 1.43D-11 3.38D-11 9.02D-10 8.64D-11 7.94D-11 2.41D-11 1.08D-11 5.60D-12 1.42D-12 9.85D-13 2.79D-13 1.27D-13 6.95D-14 3.34D-14 1.66D-14 8.82D-15 5.35D-15 1.35D-15 8.54D-16 5.21D-16 2.32D-16 1.11D-16 3.74D-17 2.42D-17 1.45D-17 6.65D-18 3.43D-18 8.55D-19
